2023-11-23 17:20:33.438736
dependency,source,is_git_supported
parsedatetime,https://github.com/bear/parsedatetime,True
iniconfig,https://github.com/pytest-dev/iniconfig,True
pytest-forked,https://github.com/pytest-dev/pytest-forked,True
libsass,https://github.com/sass/libsass-python,True
pygithub,https://github.com/pygithub/pygithub,True
pycrypto,https://github.com/pyca/cryptography,True
entrypoints,https://github.com/takluyver/entrypoints,True
configobj,https://github.com/DiffSK/configobj,True
markupsafe,https://github.com/pallets/markupsafe,True
xblock-poll,No Github Link in Release History,False
jinja2,https://github.com/pallets/jinja,True
django-js-asset,https://github.com/matthiask/django-js-asset,True
glob2,http://github.com/miracle2k/python-glob2,True
pylint-pytest,https://github.com/pylint-dev/pylint-pytest,True
contourpy,https://github.com/contourpy/contourpy,True
edx-analytics-data-api-client,https://github.com/openedx/edx-analytics-data-api-client,True
google-api-core,https://github.com/googleapis/python-api-core,True
taxonomy-connector,https://github.com/openedx/taxonomy-connector,True
sniffio,https://github.com/python-trio/sniffio,True
django-guardian,https://github.com/django-guardian/django-guardian,True
lazy-object-proxy,https://github.com/ionelmc/python-lazy-object-proxy,True
edx-auth-backends,https://github.com/openedx/auth-backends,True
edxval,http://github.com/openedx/edx-val,True
fastavro,https://github.com/fastavro/fastavro,True
pydantic,https://github.com/sponsors/samuelcolvin,True
swagger2rst,https://github.com/Arello-Mobile/swagger2rst,True
icalendar,https://github.com/collective/icalendar,True
parse,https://github.com/r1chardj0n3s/parse,True
et-xmlfile,https://foss.heptapod.net/openpyxl/et_xmlfile,True
parsimonious,https://github.com/erikrose/parsimonious,True
lazy,https://github.com/stefanholek/lazy,True
sphinxcontrib-htmlhelp,https://github.com/sphinx-doc/sphinxcontrib-htmlhelp,True
aiohttp,https://github.com/aio-libs/aiohttp,True
django-nested-admin,https://github.com/theatlantic/django-nested-admin,True
python-mimeparse,https://github.com/dbtsai/python-mimeparse,True
edx-milestones,https://github.com/openedx/edx-milestones,True
distributed,https://github.com/dask/distributed,True
sympy,https://github.com/sympy/sympy,True
ora2,http://github.com/openedx/edx-ora2,True
newrelic,https://github.com/newrelic/newrelic-python-agent,True
face,https://github.com/mahmoud/face,True
pypi,https://github.com/pypa/warehouse,True
ddt,https://github.com/datadriventests/ddt,True
enmerkar-underscore,https://github.com/openedx/enmerkar-underscore,True
cssselect,https://github.com/scrapy/cssselect,True
python-daemon,https://pagure.io/python-daemon,True
azure-storage-blob,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/storage/azure-storage-blob,True
django-clearcache,https://github.com/timonweb/django-clearcache,True
pytest-cookies,https://github.com/hackebrot/pytest-cookies,True
tempora,https://github.com/jaraco/tempora,True
openapi-spec-validator,https://github.com/python-openapi/openapi-spec-validator,True
funcsigs,https://github.com/aliles/funcsigs,True
oauthlib,https://github.com/oauthlib/oauthlib,True
testtools,https://github.com/testing-cabal/testtools,True
