2023-11-22 17:58:53.239288
dependency,source,is_git_supported
resolvelib,https://github.com/sarugaku/resolvelib,True
pyinstrument,https://github.com/joerick/pyinstrument,True
algoliasearch-django,https://github.com/algolia/algoliasearch-django,True
lockfile,No Github Link,False
pyresttest,https://github.com/svanoort/pyresttest,True
parse,https://github.com/r1chardj0n3s/parse,True
django-nine,https://github.com/barseghyanartur/django-nine,True
django-taggit-autosuggest,https://bitbucket.org/fabian/django-taggit-autosuggest,True
bracex,https://github.com/facelessuser/bracex,True
django-crispy-forms,https://github.com/django-crispy-forms/django-crispy-forms,True
edx-name-affirmation,https://github.com/edx/edx-name-affirmation,True
didkit,https://github.com/spruceid/didkit,True
zstandard,https://github.com/indygreg/python-zstandard,True
click-didyoumean,No Github Link in Release History,False
logger,No Github Link in Release History,False
isort,https://github.com/pycqa/isort,True
mongoengine,No Github Link,False
soupsieve,https://github.com/facelessuser/soupsieve,True
google-api-core,https://github.com/googleapis/python-api-core,True
luigi,https://github.com/spotify/luigi,True
filechunkio,http://bitbucket.org/fabian/filechunkio,True
dill,https://github.com/uqfoundation/dill,True
jaraco-classes,https://github.com/jaraco/jaraco.classes,True
pytest-runner,https://github.com/pytest-dev/pytest-runner,True
edx-proctoring,https://github.com/openedx/edx-proctoring,True
readme-renderer,https://github.com/pypa/readme_renderer,True
polib,https://github.com/izimobil/polib,True
django-log-request-id,https://github.com/dabapps/django-log-request-id,True
python-termstyle,No Github Link,False
done-xblock,https://github.com/openedx/DoneXBlock,True
pathspec,https://github.com/cpburnz/python-pathspec,True
pytest-rerunfailures,https://github.com/pytest-dev/pytest-rerunfailures,True
tblib,https://github.com/ionelmc/python-tblib,True
troposphere,https://github.com/cloudtools/troposphere,True
sphinxcontrib-youtube,https://github.com/sphinx-contrib/youtube,True
pytz,No Github Link,False
edx-tincan-py35,No Github Link,False
pygments,https://github.com/pygments/pygments,True
django-compressor,https://github.com/django-compressor/django-compressor,True
coreschema,https://github.com/core-api/python-coreschema,True
newrelic,https://github.com/newrelic/newrelic-python-agent,True
edx-django-release-util,http://github.com/openedx/edx-django-release-util,True
django-widget-tweaks,https://github.com/jazzband/django-widget-tweaks,True
pathtools,http://github.com/gorakhargosh/pathtools,True
fs-s3fs,https://github.com/PyFilesystem/s3fs,True
cffi,https://github.com/python-cffi/cffi,True
requests-aws4auth,https://github.com/tedder/requests-aws4auth,True
minimal-snowplow-tracker,No Github Link,False
leather,No Github Link,False
django-cache-memoize,https://github.com/peterbe/django-cache-memoize,True
azure-storage-nspkg,https://github.com/Azure/azure-storage-python,True
edx-token-utils,https://github.com/edx/token-utils,True
paver,https://github.com/paver/paver,True
oauth2client,http://github.com/google/oauth2client,True
rq-dashboard,https://github.com/Parallels/rq-dashboard,True
google-cloud-aiplatform,https://github.com/googleapis/python-aiplatform,True
pytest-cov,https://github.com/pytest-dev/pytest-cov,True
cherrypy,https://github.com/cherrypy/cherrypy,True
elasticsearch-dsl,https://github.com/elasticsearch/elasticsearch-dsl-py,True
edx-enterprise-subsidy-client,https://github.com/openedx/edx-enterprise-subsidy-client,True
shellingham,https://github.com/sarugaku/shellingham,True
asn1crypto,https://github.com/wbond/asn1crypto,True
django-rest-swagger,https://github.com/marcgibbons/django-rest-swagger,True
random2,No Github Link,False
enum34,https://bitbucket.org/stoneleaf/enum34,True
outcome,https://github.com/python-trio/outcome,True
pbr,https://opendev.org/openstack/pbr,False
pyquery,https://github.com/gawel/pyquery,True
django-config-models,https://github.com/openedx/django-config-models,True
onelogin,No Github Link in Release History,False
willow,https://github.com/wagtail/Willow,True
oauthlib,https://github.com/oauthlib/oauthlib,True
pep8,No Github Link,False
pudb,https://github.com/inducer/pudb,True
pylatexenc,https://github.com/phfaist/pylatexenc,True
django-dry-rest-permissions,https://github.com/FJNR-inc/dry-rest-permissions,True
django-soapbox,https://github.com/ubernostrum/django-soapbox,True
edx-organizations,https://github.com/openedx/edx-organizations,True
django-braces,https://github.com/brack3t/django-braces,True
pylint-pytest,https://github.com/pylint-dev/pylint-pytest,True
cssutils,https://github.com/jaraco/cssutils,True
django-solo,https://github.com/lazybird/django-solo,True
django-mptt,https://github.com/django-mptt/django-mptt,True
azure-storage-blob,https://github.com/Azure/azure-sdk-for-python/tree/main/sdk/storage/azure-storage-blob,True
mistune,https://github.com/lepture/mistune,True
nose,No Github Link,False
fixtures,https://github.com/testing-cabal/fixtures,True
bleach,https://github.com/mozilla/bleach,True
pytest-base-url,https://github.com/pytest-dev/pytest-base-url,True
graphql-core,https://github.com/graphql-python/graphql-core,True
pylint,https://github.com/pylint-dev/pylint,True
bridgekeeper,https://github.com/excitedleigh/bridgekeeper,True
aws-xray-sdk,https://github.com/aws/aws-xray-sdk-python,True
livereload,https://github.com/lepture/python-livereload,True
edx-completion,https://github.com/openedx/completion,True
edx-when,https://github.com/openedx/edx-when,True
openedx-django-wiki,https://github.com/openedx/django-wiki,True
dj-database-url,https://github.com/jazzband/dj-database-url,True
imagesize,https://github.com/shibukawa/imagesize_py,True
ordereddict,No Github Link in Release History,False
sqlparse,https://github.com/andialbrecht/sqlparse,True
kombu,https://github.com/celery/kombu,True
tox-battery,https://github.com/signalpillar/tox-battery,True
github3.py,https://github.com/sigmavirus24/github3.py,True
django-splash,https://github.com/openedx/django-splash,True
types-urllib3,https://github.com/python/typeshed,True
keyring,https://github.com/jaraco/keyring,True
glob2,http://github.com/miracle2k/python-glob2,True
python-coveralls,http://github.com/z4r/python-coveralls,True
ecdsa,http://github.com/tlsfuzzer/python-ecdsa,True
jira,https://github.com/pycontribs/jira,True
slackclient,https://github.com/slackapi/python-slack-sdk,True
filetype,https://github.com/h2non/filetype.py,True
edx-enterprise-data,https://github.com/openedx/edx-enterprise-data,True
ddt,https://github.com/datadriventests/ddt,True
django-clearcache,https://github.com/timonweb/django-clearcache,True
deepmerge,No Github Link,False
trio-websocket,https://github.com/python-trio/trio-websocket,True
isoweek,http://github.com/gisle/isoweek,True
click-repl,https://github.com/untitaker/click-repl,True
whitenoise,https://github.com/evansd/whitenoise,True
ciso8601,https://github.com/closeio/ciso8601,True
pyjwkest,No Github Link in Release History,False
sphinxcontrib-mermaid,https://github.com/mgaitan/sphinxcontrib-mermaid,True
statistics,No Github Link in Release History,False
docker,https://github.com/docker/docker-py,True
django-elasticsearch-dsl-drf,https://github.com/barseghyanartur/django-elasticsearch-dsl-drf,True
bok-choy,http://github.com/openedx/bok-choy,True
openedx-filters,https://github.com/openedx/openedx-filters,True
pytest-cookies,https://github.com/hackebrot/pytest-cookies,True
backports-functools-lru-cache,https://github.com/jaraco/backports.functools_lru_cache,True
hvac,https://github.com/hvac/hvac,True
django-model-utils,https://github.com/jazzband/django-model-utils,True
pip,https://github.com/pypa/pip,True
rstcheck,https://github.com/rstcheck/rstcheck,True
xmlsec,https://github.com/mehcode/python-xmlsec,True
mypy-extensions,https://github.com/python/mypy_extensions,True
async-generator,https://github.com/python-trio/async_generator,True
backports-zoneinfo,https://github.com/pganssle/zoneinfo,True
gitdb,https://github.com/gitpython-developers/gitdb,True
pkginfo,No Github Link,False
glom,https://github.com/mahmoud/glom,True
django-timezone-field,https://github.com/mfogel/django-timezone-field,True
djangorestframework,https://github.com/encode/django-rest-framework,True
draftjs-exporter,https://github.com/springload/draftjs_exporter,True
webencodings,https://github.com/SimonSapin/python-webencodings,True
billiard,https://github.com/celery/billiard,True
flaky,https://github.com/box/flaky,True
types-python-dateutil,https://github.com/python/typeshed,True
nodeenv,https://github.com/ekalinin/nodeenv,True
